,name,rating,cost,address,cuisine,review
58,Wooden Spoon,null,2,"
2418 W 32nd Ave
Denver, CO 80211
(303) 999-0327
",Dessert,"Denver’s known for many things - craft beer, farm-to-table food sourcing, beautiful people, legal weed. But one important category you don’t hear much about: bakeries. We’re talking full-scale operations with hard-to-pronounce pastries, gooey egg sandwiches, and quaint neighborhood charm. But Wooden Spoon is here to make some noise in that category, from its small, under-the-radar corner shop. 
You might miss it if you aren’t paying attention, as it’s the size of a broom closet compared to the rest of the block’s storefronts. Actually – you might miss it if it’s a weekday past noon. Because on a Saturday or Sunday morning, you’ll definitely spot it based on the dogs and strollers parked outside alone. What it lacks in comfortable seating and Wi-Fi (your computer won’t fit on their tiny tables anyway), Wooden Spoon easily makes up for with its friendly service, and more importantly, impressive spread of baked goods. Even your gluten free, dairy free, vegetarian friend will find something to love here. That being said, our favorite items aren’t adhering to any of those requirements.
Wooden Spoon serves lunch, but the breakfast situation here is what keeps us coming back. More specifically, the breakfast sandwich keeps us (and everyone else posted up here every weekend) coming back. There aren’t many places in Denver to get a great egg sandwich, but Wooden Spoon has perfected it: steaming hot eggs topped with melty cheddar cheese, bacon, and just enough toasty brioche to hold it all together. It’s rich enough to cure a hangover, but still leaves you feeling okay about your arteries. Maybe it’s just our overactive imagination, but the servers give you this ridiculously big smile when handing off your to-go bag - it makes you feel like you’re in on the neighborhood’s best kept secret.
Whether you’re here for the first or tenth time, you’ll want to bring some friends so you can try as many things as possible (not too many friends - remember, this place is small). But if you aren’t rolling deep, don’t worry, the only way you can go wrong is if you get here after they sell out (which does happen). 
Even if you’ve never thought about the fact that you needed more bakeries in your life, Wooden Spoon’s breakfast food is good enough that you’ll wonder how you ever got through your Saturdays without it."
59,Ohana Island Kitchen,null,2,"
2563 15th St #105
Denver, CO 80211
(303) 718-6580
",Hawaiian,"Everybody has their favorite hole-in-the-wall spot: a quaint dive bar, a hamburger stand with questionable health inspector records, an old Mason hall serving strong coffee. We came to love Ohana Island Kitchen when it was a literal hole in the wall: a window-font station in a shared space on a quiet corner just west of The Platte River. Thanks to much-deserved success, it has since evolved into a full-scale operation serving excellent Hawaiian lunch favorites from its own shop (across the street from the hole in the wall). Say aloha to Denver’s best poke stop: Ohana Island Kitchen.The small, cafe-style operation is all about fresh, big flavors - think teriyaki-esque pulled pork, high-quality tuna, sweet rice, and a good amount of spam (don’t be afraid). The food alone sells the place, but the picnic-style seating situation and very friendly staff really ups Ohana’s game, and works well for both hurried and leisurely lunches. 
The higher prices might give you pause considering it’s lunch, but rest assured, you get what you pay for. Plus, we guarantee eating food this good while relaxing for a few minutes at a picnic table will cure your mid-day work stress. Grab a buddy or two and order the entire menu to share. We’ll see you there."
60,The Preservery,null,2,"
 3040 Blake St #101
Denver, CO 80205
(303) 298-6821
",American,"The Preservery has all the elements you’d expect from the latest trend of “hot” new restaurants around Denver: 


Sustainably sourced seasonal ingredient focus: Check. 


Mercantile side-shop featuring artisanal pickles: Check.


Random, offbeat (Star Wars themed) design details placed throughout the space: Check.


There’s obviously a heavy focus on aesthetics, which isn’t necessarily a bad thing. But lately in our experience with new places around town, said focus has signalled sluggish service and sub-par food. Thankfully, that’s not the case here. The Preservery is firing on all cylinders.The menu is designed to rotate with the season, and as far as the summer goes, we’re fat and happy. From small plates, to sandwiches, to full-scale sophisticated dinners, everything we’ve tried is excellent. The service too, is great - they have, without a doubt, one of the friendliest staffs around. And they aren’t doing it for the gratuity - taking after the recently trendy NYC model, tip is already included in all the prices.
The patio is another big highlight. Positioned just off the bar with enough shade to avoid melting your face off, it’s the kind of porch that’s somehow perfect for dates and bigger group hangs alike. 
At the southern end of RiNo, The Preservery’s location makes for a nice walk if you’re coming from anywhere around North LoDo - especially before or after a Rockies game. It’s close to Coors Field, yes, but far enough away to avoid drunken stragglers looking to get rowdy. Skip the ballgame traffic here sipping drinks on the patio.
All in, The Preservery looks good, it feels good, it tastes good - a nice little trifecta that combines to form what we believe is one of Denver’s best new restaurants, and one you should definitely take advantage of this summer. Get here before the rest of the city finds out."
61,Globe Hall,null,2,"
4483 Logan St
Denver, CO 80216
(720) 668-8833
",BBQ,"Globe Hall is the kind of place you’d probably avoid if you didn’t know about the smokey food magic happening out back. Dingy walls, barred windows, torn-up barstools, wobbly tables, bad taxidermy... it’s pretty clear there isn’t much effort going into room staging here. We respect that. It’s honestly what you want from a good BBQ place, because it lets you know all the focus is on the right thing - the food. At GH, that’s absolutely the case. They have all the makings of a real Texas smokehouse, including a small-cabin-sized smoker (named Betty) on the patio out back, currently pushing out the best BBQ we’ve ever had in Denver. And the space is actually a 100-year-old Croatian dance hall, which is at least a cool historical fact.
Brisket, pork, ribs, turkey, sausage, a few sides, and some pie make up the menu, and you can’t go wrong with any of the above - especially the ribs. These are honestly the best ribs in town. Tender, juicy meat that sticks to bone just enough to make the small amount of work you have to put in for each bite totally worth it. Add in the dance hall and live music they offer on the regular and we’re probably going to make GH our official summer headquarters. 
The only complaint we have is that they occasionally offer weekend yoga classes. We’re willing to give that a pass... as long as they let us grab some of those ribs during our warrior pose."
62,Blue Pan,null,2,"
3930 W 32nd Ave
Denver, CO 80212
(720) 456-7666
",Pizza,"Detroit. Pretty good at hockey, used to be really good at making cars. Still really good at making chili cheese dogs/coney’s. But Detroit-style Pizza? Turns out, they’re really good at that too. Detroit-style pizza is highly delicious, and Blue Pan has brought some hip-to-be-square magic-ness to Denver. This tiny, Michigan-proud pizzeria has quickly become part of our regular rotation for quality LoHi eats.Twist our arm for a gripe about the place, and we might (strong might) mention the seating situation inside - “tiny” puts it pretty lightly (seats 10-15 tops) - but that gripe has more to do with us not wanting to wait for a table than the experience BP’s small interior size brings. Despite the elbow rubbing, we like the down home vibe this place gives off. It feels like a small mom & pop stop where neighborhood kids congregate after school for a slice, some soda and a game of jacks out front.
If you can swing a table and dine-in, do it. Especially if you’re eating alone. A seat at the bar is one of the best spots in town to catch a game on TV solo. Plus the staff is great at keeping you company. But don’t sleep on the take-out operation - the food doesn’t miss a beat if you’d rather get down at home. The Parma Italia and Brooklyn Bridge options are our favorites, but you won’t be mad at much on the menu. Just know that while they do offer a few thin(er) crust options, we don’t recommend veering away from the Detroit-style mains. Embrace the Motor City stuff and you’ll be happy. Just don’t go requesting any Kid Rock."
63,The Universal,null,2,"
2911 W 38th Ave
Denver, CO 80211
(303) 955-0815
",American,"The Universal is a place that lives up to its name - it's literally good at everything. The food, the service, the cocktails, the vibe... it's the full package, all wrapped up and tied together with a pretty little Americana diner themed bow.
The venue is perfect for both big groups and small, and works even better if you're looking to grab a bite solo - a move we strongly endorse, especially during peak hours. Not only will an unaccompanied breakfast help you avoid the wait on weekends (and you will have to wait), it'll also give you a chance to get serious with an order of corn bread rancheros and custard toast without judgement from those friends who always give you crap for ordering ""more than you can eat."" As if that's ever possible. Go big here and be proud. The cool waitstaff will likely cheer you on by bringing several rounds of their favorite cocktail to help incentivize your resolve to keep eating.
It's always easy to say a place like this has something for everyone, but in this case, it’s actually true. Our only worry is that more people will find out about the U and make the wait longer for us when we head over. Not that we mind waiting for a place this good. 
See you in line."
64,Bar Dough,null,3,"
2227 W 32nd Ave
Denver, CO 80211
(720) 668-8506
",Pizza,"Bar Dough, we like you. We’re not afraid to say it. We’re not sure what the future holds, but right now, we are thinking about making you a mixtape. We’ve been on a lot of blind dates, and been disappointed by new restaurants that didn’t live up to the hype. But you are treating us right and we are smitten.
Falling in love with a new restaurant feels good. But how do you know you’ve found the real thing? Here’s how we know that flutter in our stomachs is more than just indigestion.


We’ve told our mom and our friends about the food.
Bar Dough has something for everyone you know.


We want it more than once a day.
We’ve done Happy Hour here, taken a nap, and then come back for dinner here on the same day.


We want to show it off.
Bar Dough is nice enough to take a date, casual enough for a Wednesday night outing with friends, and refined enough for a business dinner.


We have an inside joke with the staff.
Enjoying the service is important and we’ve been impressed with Bar Dough so far. We assume they feel the same about us.

"
65,Leña,null,3,"
24 Broadway
Denver, Colorado 80218
720-550-7267
",Latin,"When you graduated from college, you were going to travel around Central and South America like a drunk Magellan in search of food, fun and fiestas. We know because you told us over and over again every time you had more than three margaritas at the Rio. But despite all of that big talk, you spent all of your money on Hot Pockets and bar tabs and the farthest south you ever made it was Cancun junior year.
Don’t worry, the sting from your missed globetrotting opportunities are about to be dulled by Leña. It’s not Buenos Aires in the spring, but your taste buds probably won’t know you took a 10 minute Uber ride from Downtown to South Broadway to try a hodgepodge of dishes styled after classics from Texas to Tierra de Fuego.
The menu has the potential to overwhelm you with goodness, but don’t worry. We've let the servers guide us each visit and we haven’t been disappointed yet. They’ll definitely recommend the Chilaquiles, flank steak and octopus ceviche. And, they’ll be right.
The beauty of a place like Leña—besides the awesome food, drinks and atmosphere—is that it can give you a taste of places you’ve never been but without the requisite hepatitis shots. A win-win if you ask us."
66,Recess Beer Garden,null,2,"
2715 17th St Ste 103
Denver, CO 80211
(720) 638-0020
",Bar Food,"In Denver these days, every new restaurant it seems carries with it a story of sustainability, linked to local sourcing and community give-back. And that’s fine, no one can complain about it. Actually most places that went or are going that route do very well and taste pretty damn good. However, we quite honestly needed a goddamn break from it. How many times do we have to hear about your farm 15 miles away and how happy Milli the chicken is before slaughter?
Thankfully, there’s a beer garden that gives us that break both in name and experience - we’re talking about Recess - a place that doesn’t look to be defined by outward, explicit environmental involvement. Look, we’re sure they have the same concerns we all do, but we’re grateful to see they're more concerned with giving you a relaxing afternoon or evening of fun and great food.
Think open air bar facing a huge, multi-level patio with picnic seating, lawn games and good scenery. Whether or not it was their intention to look just like an Austin, TX beer garden, that’s the atmosphere you’re going to experience here. We couldn’t really ask for more beyond that, but of course we did in an attempt to check out the food, and again, no complaints. With BBQ plates to share, really good wings and our favorite, green chili smothered tots, you’re gonna want to clear your afternoon and set up camp. It’s safe to say we dig Recess and the refreshing take it’s given the/our Denver food scene. It likely won’t become your new go-to spot, but you’re always gonna need a break from said spot, and when that happens we highly recommend you head here."
67,Dos Santos,null,2,"
1475 E 17th Ave
Denver, CO 80218
303 386 3509
",Mexican,"Most trendy taco spots around town carry similar traits - younger crowds, party-ish vibe, pumped up music, big menus with tons of options… basically an atmosphere that feels more club than taco shop. They’re places basically resembling your freshman year in college - you go there to have a good time and find out what you like. But as you start to figure out what that is, you tend to hone in and seek out something much more specific.
That’s our analogy for Dos Santos and what they’ve brought to the Denver scene. In fact, we’re officially dubbing them our taco grad school. It’s a smaller space, with smaller crowds and a super focused, smaller menu that looks to do what you like most, better. 
The scene is very casual and friendly making it just about as perfect a spot as possible for early afternoon sessions when you don’t want to be around a rushed brunch scene. The food comes out fast, the cocktails come stiff and the staff is happy to bring both. And just like that “Urban Legends 300” class you tried to enroll in junior year, it’s gonna fill up fast as more people start hear about it, so get in there before that happens and you’re stuck with the “How to Wait Two Hours For a Meal 101” course."
68,Frasca,null,4,"
1738 Pearl St.
Boulder, CO 80302
303-442-6966
",Wine Bar,"We have a problem taking the term ""best restaurant in Colorado"" seriously, but those words are often thrown around when it comes to Frasca. To us, it’s too subjective a title - being a ""best restaurant"" anywhere means you’re good at literally everything; not just food, just wine, or just service and courtesy. So while we’re hesitant to hand out a ""best restaurant in Colorado"" nod (partly because we haven’t eaten everywhere in Colorado) we will admit that it only took a few trips to secure our very first Infatuation Denver 9.1 rating.
Frasca’s focus is as much about wine as it is about food, but not in an mutually exclusive way. It’s based on an idea that balancing the two makes what’s best about both, better. They do this really well. Add in their amazing service and ambiance, and you've got something special. From start to finish on each visit, Frasca makes us feel at home. Members of both the front and back of house staff have always seemed almost humbled to host us and every single other guest in the dining room. No pretension or overdone coddling - just a sort of inviting warmth...only not in a freaky Hansel & Gretel kind of way. That being said, you will be exposed to some story hour time when the wine starts to roll out. Not just taste profile explanations, but actual stories and history lessons about where the wine comes from. Sit back and enjoy. It’s fun, educational, and you’ll likely hear them from a James Beard award winning Master Sommelier.
The food at Frasca has a pretty simple focus in terms of preparation and presentation, but we can honestly say it has provided us with some of the best bites we’ve had in awhile. From the prosciutto and breadsticks to the Alaskan cod with trout roe, everything works. 
As mentioned earlier, we haven’t yet had a bad, or even mediocre experience at Frasca. But if we had to pick our favorite, it’s on Monday nights when they offer their pre-set tasting menu and wine flights. If you’re going for the first time, this is definitely your play. They do the work for you, and it offers a nice sampling of the menu. Think of it as a mini-camp before you take control of the ordering on your next visit, which you’ll definitely be planning. We’re actually planning ours right now."
69,Duo,null,4,"
2413 West 32nd Ave.
Denver, CO 80211
303-477-4141
",American,"Dear Duo,
Whatever it was that used to make you dynamic has unfortunately gone missing. That “unfortunately” is very intentional, because we’ve always loved you. Over the past year we knew something was off, but just honestly thought you needed new inspiration. However, after our latest visit, we’re convinced that what you actually need is an intervention. You were once one of Denver’s most consistently raved about restaurants, and deservingly so. Until now.
Soooo, what’s the deal? Have you’ve gotten bored, developed a drug problem, or just plain burned out? We know your parents/owners left town awhile back to try some new things in Vermont, but that’s no excuse. Is your food still good? Sure. Is it worth a few hundred bucks? Sorry, but no. Duo, you’ve gotten boring and we need you to pull your shi* together.
Sorry to be harsh, but this is how interventions work. We won’t go as far as to say you need a throat punch, but you do need to wake up to your potential. For one, your name is Duo (2), but the pairings on most of your main dinner plates just don’t jive. You’re disrespecting a perfectly cooked duck breast with slimey quinoa, and a mangled mushroom patty underneath. Your paella is lazy. The hot sauce octopus appetizer? We want this to work, but what you’re doing is not working. We’ll admit that your brunch is still pretty solid, but c'mon, you’re better than brunch. A lot of restaurants around here can do brunch.
Let’s take a breath, keep things simple, and try to remember what you do best.
Why not start with your fried chicken? It’s always amazing. Get it back on your menu, and keep it on the menu - Year. Round. Focus on the small steps, and you’ll get there. We want you back, Duo, but we’re done giving you chances. At least until you give us a reason to give you another chance. Seriously, get your sh*t together. We'll wait patiently."
70,Edgewater Inn,null,2,"
5302 W. 25th Ave.
Denver, CO 80214
303-237-3524
",Pizza,"Howdy, Paisano.
Every lifelong Denverite has four things in common. An unwavering devotion to John Elway, a constant fear of running into their grandma at their favorite weed shop, a continued and unjustified fear of Five Points, and a love for Edgewater Inn pizza. If any of the above don't ring true to you, go back to Iowa, you f*cking tourist.
For the newbies and uninitiated, Edgewater Inn serves the best pizza in Denver. I know, I know, throwing around lofty superlatives about pizza might get you shanked in Chicago or forced to watch a Knicks game in New York, but here this is a safe statement. Safe because Denver isn’t really known for pizza. Safe despite the awesome stuff Cart Driver and Hops & Pie are cranking out. And safe because longtime classics are almost always the best.
Don’t believe us? Go find someone who didn’t move here from California yesterday and ask.
Couldn’t find anyone? OK, keep reading.
Edgewater Inn is basically a really clean dive bar that focuses on schooners of Coors and unbelievably good sausage pizza. The service is almost always great, but don’t arrive hangry. Due to a serious take-out operation competing with the in-restaurant dining operation, your order will take 30 minutes or so.
That said, it’s worth the wait and will give you time to talk about how crazy the weather is here or how awesome String Cheese was at Red Rocks."
71,Guard and Grace,null,4,"
1801 California St.
Denver, CO 80202
303-293-8500
",Seafood,"It used to be that a power lunch anywhere outside of the tech center meant having a Kind bar mid-hike. Because let’s be serious, downtown Denver isn't exactly teeming with guys in suits looking to spend lunch with a filet mignon and a glass of Merlot.
But every city needs at least one official downtown power lunch spot, at least for the out of town executives who do want meat and fancy silverware. Enter Guard and Grace - a modern steakhouse currently standing court as lunch and dinner HQ for seemingly every business person traveling in and out of metro Denver.
Turns out focusing that power lunch play around aloof usage of traveling corporate credit cards was genius. Monday through Friday, G&G; packs all 9,000+ square feet of its dining space with formal idea pitch-sters and boondogglers alike. It’s huge, it’s beautiful, and it’s probably making more money than all of its patrons combined.
Lunch is king at G&G;, but the dinner features an expanded menu and the same suited up crowd… only more boozed up. This basically means the people watching gets really interesting at night. Dinner theatre at its best. If G&G; really wants to up its game, they might consider offering a dry cleaning service to help deal with all the grease and wine stained suits that tend to multiply post-sunset.
Like any respectable steakhouse, both the lunch and dinner menus are huge. You can choose between a full raw bar, a wide variety of starter and sandwich options, a few heavy main courses, and of course, steak. Everything is expensive, but everything is good. Especially if you’re spending someone else’s money. Which is exactly how we recommend you experience Guard and Grace. This isn’t a bill you want to be responsible for."
72,Bistro Barbes,null,3,"
5021 E. 28th Ave.
Denver, CO 80207
720-398-8085
",American,"Let’s be real for a minute. When’s the last time you went to Park Hill for dinner (or anything)? If you’re feeling shy, we’ll go first—Tables circa 2007. Unless you live in the area, your answer may be never. And guess what, it’s not your fault. There just aren’t many options in these parts. Sure, wine bars and bakeries pop up on certain blocks, but they’re nothing you couldn’t find in your own hood.
Well, let’s end all the Park Hill abstinence right now because Bistro Barbes is well worth your time and money. It’s an elegant, tiny space - around 20 seats - that’s upscale without being stuffy. So get cozy and crush on the amazing lamb merguez and escargot agnolotti.
Service is friendly and intelligent and the dinner menu is nicely curated. With around three choices for each course, there is no risk of paralysis through analysis. The wine list is similarly pared down, but you won’t lack good choices. Bistro Barbes touts itself as being grounded in French technique with flavors from North Africa, Spain, and the Mediterranean. The first claim is true, but the latter is questionable. Don’t get us wrong, we’re all in, but if the North African and Spanish flavors were turned up even 25 percent, we’d be even higher on this place. Until then, we’ll just have to settle for damn good instead of groundbreaking. You’ve got some real champagne problems these days, Park Hill."
73,My Brother's Bar,null,1,"
2376 15th St.
Denver, CO 80202
303-455-9991
",Bar Food,"When I was a youngster I actually thought My Brother’s Bar was owned by my uncle, Ed. My mom would say, “let’s go to My Brother’s Bar,” excitement would ensue, inevitably followed by me thinking my uncle must have the night off...again. Kids are so stupid.  
It’s easy to see why my younger-self loved this place — in many ways it’s like a fast food joint. The burgers are a little greasy, served on sesame seed buns, and wrapped in paper. The fries and onion rings sit in plastic trays and all condiments come in a plastic caddy they bring to your table, complete with pickles, onions, etc.
As an adult man-boy, I find other reasons to appreciate this place. For one, it’s got the character of a Wild West saloon mixed with the vibe of a cool urban hangout.
Proclaimed Denver’s oldest bar, My Brother’s Bar is a mix of old and new. Old: They crank Beethoven and Bach for plenty of hunched-over grandpas at the bar. New: They pack the place with hip Riverfront area residents who are paying a ton of money to live close to REI.
Whether you’re old, new, or middle school you’ll probably find something to like at My Brother’s Bar. At the very least you’re destined to have a good burger in a place that has about as much history as you can find in Denver.
And if you do find yourself sitting at the bar someday, say hi to Ed. Assuming that dude ever shows up for work."
74,Old Major,null,3,"
3316 Tejon St.
Denver, CO 80211
720-420-0622
",American,"If you follow food and restaurant news in Denver, there isn’t much you haven’t heard about Old Major. And while the accolades both locally and nationally have fizzled out a bit, it definitely continues to serve as a hotspot for food enthusiasts, Highlands aristocrats and hipsters alike. So, what can we tell you about this restaurant that you haven’t heard? Probably not a lot, but we can offer some advice. If you’re going to do Old Major, do it for an afternoon happy hour on the patio.
Here are some tips if you decide to go this route: If they’ll let you, try hard to order off the main menu, mainly to see if you can get your hands on some ham & biscuits from the dinner menu. If all else fails, eat a charcuterie plate. You'll also want to get there early and plan to stay for a long time. Sit on the patio, order a stiff drink, and watch the people go by. And whatever you do, don’t come here on a first date. You need to be relaxed so you can enjoy quiet, comfortable people watching and uninhibited consumption of pork parts. Also keep in mind this isn’t a more fiscally responsible way to experience Old Major. Cocktails alone will run close to $10 a pop, this will not be a cheap happy hour experience. But it will be worthwhile.
We should also clarify that recommending happy hour over the full-on dinner or brunch experience isn’t our way of saying the headliners at Old Major are bad; you should definitely put it in rotation for both of those meals. But for our money, (and regardless, you’re going to spend a lot of money) a nice long mid-week patio binge is where it’s at."
75,The Kitchen Denver,null,3,"
1530 16th St.
Denver, CO 
303-623-3127
",American,"The Kitchen Denver is a beautiful space. It’s huge, nicely decorated, and located in an amazing spot just off the 16th Street Mall. The views from the gigantic first floor windows make for great people watching, the staff is friendly, and the American bistro menu rotates with the seasons. Flavors are pretty standard, but they’re also pretty darn good. Honestly there’s really nothing to complain about... unless you’ve been to the original Kitchen in Boulder. If that’s the case, this new Kitchen just isn’t going to match up.
To elaborate, let’s take a step back. Close your eyes, and think about the first kitchen you had growing up - the family’s main gathering spot, the nerve center for conversations about school, life, love...John Elway. All no doubt part of some pretty great early memories. Eventually though, through your parents upgrading to a nicer house or you moving out to your own place, that original kitchen went away. And with it, the nostalgia and brilliance of its predecessor. That’s how we feel when we visit The Kitchen downtown Denver.
To be clear, you aren’t going to have a bad experience at The Kitchen Denver. It’s a safe bet, and there won’t be any surprises. If you set your expectations right, you’ll walk away satisfied. It just isn't going to be all that memorable. For that Kitchen, you’ll need to head down Highway 36."
76,ChoLon,null,3,"
1555 Blake St.
Denver, CO 80202
303-353-5223
",Fusion,"""Fusion,"" is a word you're probably familiar with, especially when it refers to Asian cuisine. But does anyone really know what that means? A simple concept, yes. But a concept that is nonetheless usually over-explained without any real clarity. It’s like asking someone to describe Art Deco design - 12 minutes of generalizations and hand wafting will likely ensue, ending in you just wanting to ""art deco"" the describer in the face. Our advice, skip the explanations and learn through experience. In the modern Asian game, let ChoLon be your sensei.
Adding twists to classic dim sum and larger course dishes, ChoLon is the ideal example of a good Asian ""fusion"" restaurant. Soup dumplings seem traditional on first inspection, and yet there is french onion soup inside of them. The bacon fried rice is a ""carbonara"" with runny egg on top. But ChoLon’s ability to understand where twists & upgrades aren’t needed might be even more impressive. The steamed buns are simple and delicious, with little bells and whistles - just an upgrade to meet the upscale, business-lunch-friendly environment.
We love pretty much everything we’ve eaten here (and we’ve eaten everything) and ChoLon is worth trying at least once. It's also worth getting into your permanent rotation, especially if you live or work downtown."
77,The Hornet,null,2,"
76 Broadway
Denver, CO 
303-777-7876
",American,"It’s always easy in the beginning. This is both salient dating insight and true when expanding our restaurant guide into a new town. At The Infatuation, we like good food and we have been selflessly subjecting ourselves to Denver’s very finest eateries like a group of soon to be canonized monks.
“Please hold for the freaking Pope…”
For the most part it’s been a praise fest with the reviews we've been dishing out and that isn’t going to change with our thoughts on The Hornet. This place is an icon, and it deserves some acclaim for serving up great food long before the Baker/SoBo-area was a happening place.
Unlike many older relics in changing neighborhoods, The Hornet still feels like the place to be for burgers, brunch, and booze. Happy Hours can be packed and people have lots of compelling reasons to stick around for dinner.
To earn its “old reliable” status the Hornet continues to deliver in several key areas. They have a menu chock full of better than average bar food , they are close to some of our favorite SoBo hangs like the Hi Dive and the Mayan Theatre, and the people — both staff and patrons — share a good vibe that make us want to hangout for another cocktail or two.
The Hornet isn’t new or shiny but it will still be there for you next year. Which, let’s face it, may or may not be true of the questionable person you are currently seeing. Amen."
78,Work & Class,null,3,"
2500 Larimer St.
Denver, CO 80205
303-292-0700
",American,"Work & Class’ mantra is “Food for People Who Can Eat.” Considering the fact that our mission here at The Infatuation is to write ""Restaurant Reviews for The People,"" we had a feeling we were going to like this place from the start.
Ever since Work & Class opened last year, the place has been packed with all types of people from Denver who most definitely know their way around a table full of food. The Latin-influenced menu is broken into three main sections: meat, sides, and breads, and is best designed for sharing and sampling among a group. Things like roasted goat and conchinita pibil come in quarter, half, or full pound servings, and will arrive at your table in a silver bowl. The idea is for you to get creative and customize your experience - order some tortillas, some Colorado lamb, maybe some fried sweet plantains (definitely some fried sweet plantains). But if that’s too much responsibility, they'll happily suggest some meat/side/bread combinations. Just don't be afraid to let loose a little bit. Embrace the goat.
With a small space and no reservations, waits at Work & Class can quickly escalate, but we like to drop in at the end of happy hour and ride on into dinner. Eating at the bar is another smart way to avoid 45 minutes between you and your meal, and the experience is exactly the same. As a matter of fact, we're sure you're going to like this restaurant no matter where you sit. As long as you're a person who can eat."
79,Biker Jim's Gourmet Dogs,null,2,"
2148 Larimer St.
Denver, CO 80205
720-746-9355
",Bar Food,"What’s not to love about the rags-to-riches story of a 16th Street Mall cart that was so popular they opened not one, but two brick-and-mortar restaurants? Biker Jim’s is the American dream come true, and Denver’s all the better for it. And even despite all of their success, none of it has gone to their head. The people at Biker Jim's are as down to earth as ever, and the cart that started it all is still on the mall serving up lunchtime goodness. So all you pleated khaki and pant suit types, hit the pavement for a dog. Save that sad turkey sandwich for another day.
Biker Jim’s is all about creativity via exotic meats, including reindeer, wild boar, and rattlesnake-pheasant. With 13 different dog options and 7 special toppings, you’re looking at 91 potential combinations from this menu - and not a one of them will let you down. Not sure that a rabbit and antelope sausage is something you can get down with? You can, and you will. All you have to do is let it into your life. And should you have some religious belief or policy about not eating cute things, don't you worry. Biker Jim's does a really good vegan dog as well.
Aside from a place to eat crazy/delicious things, Biker Jim's near-LoDo location makes it a great spot to pre-game for a night out or hit up some late night eats. And since Coors Field is just around the corner, we’re petitioning for a satellite location inside the Rock Pile because we’re now embarrassed to have ever eaten a Rockie dog. We have also yet to observe a biker on any of our visits, so no Roadhouse-type fights have popped off that we're aware of. We'll keep our scooter parked out front just in case."
80,Beast + Bottle,null,3,"
719 E. 17th Ave.
Denver, CO 80203
303-623-3223
",American,"You already know that Denver is filthy with brunch spots. Pretty much every
review we've written of a new-ish restaurant in this town refers to eggs
benedict at one point or another. But for us, most of them fall short of the
brunchtime hype (hi Snooze). Feel the same way? Not to worry. If you’re tired
of chocolate chip pancakes, campy retro decor, and ironically eating $4 bowls
of Fruity Pebbles, Beast + Bottle has you covered.
Taking over the space of dearly departed Olivea, Beast + Bottle opened back
2012 and made a lot of noise doing so. People were excited about this
restaurant out of the gate, and for good reason. This place is serious, in a
way that has made other chefs and people in the restaurant industry take note.
The food is very ingredient-driven, which means the menu changes constantly,
and the concepts are...advanced. As a matter of fact, the dinner menu can
often be intimidating and full of things that the lay person might not be
familiar with like ""fregola"" or ""candied pepitas."" What? You don't always keep
a little fregola in your kitchen? That said, we've always enjoyed coming here
and trying new things, especially with a glass or two from their excellent
wine list in hand.
Back to brunch. This is our favorite time to hit Beast + Bottle. The scene is
a relaxed, and the upscale country house vibe fits perfectly with the farm-to-
table focus of the menu. And if you tip to the savory side when it comes to
eating on Saturday afternoon, Beast + Bottle’s menu is right up your alley.
They make a chicken and cherry sausage that is officially in the Infatuation
Food Hall Of Fame, and the arctic char eggs benedict (told you we'd mention
it) and pizzas are good too. Things can certainly get a little bit pricey, but
the portions and quality ensure that you get what you pay for. In a Denver
rarity, they even take reservations for brunch. Book a table, order a drink,
and maybe bring your ""obscure ingredient dictionary."""
81,Sputnik,null,2,"
3 S. Broadway
Denver, CO 80209
720-570-4503
",American,"Sputnik is hipster as f*ck. Like, polish up your best 1982 rodeo champion belt buckle and rock your fanciest Jeffery Dahmer bifocals because it’s time to eat a vegan cheesesteak, hipster. Further proof, the place is named after the first artificial satellite to orbit the Earth which we assume is either a metaphor for out-of-this-world food or a tribute to how lonely it feels to be a pioneer in almost everything, always.
If you don’t have a neck tat, don’t worry. Sputnik will still serve you while you gawk at cool twenty-something’s all wearing the same hat. Fortunately, the food and drinks are good enough that you will be glad you went even if the scene makes you feel a little old.
We love a place that takes the time to cater to vegans and vegetarians but also still serve tasty animal-based food, and Sputnik does both well. Almost everything on the menu has a really good no-meat option and they may have the best corndog in Denver — both beef and zucchini versions.
The menu has an international theme with stops in the U.S., Mexico, India, Vietnam, Korea and the Middle East. Which makes it the perfect place for those times when you’re craving both tacos and bimimbap.
Sputnik is also located next door to the Hi Dive so you can get full/drunk before you see that band you’ll be over once they start getting radio play."
